color,count
0a0000,911
1a0d05,62
080000,1181
110600,38
0a0100,79
070000,1150
0f0600,33
130a05,139
120403,57
0b0000,652
150700,29
0d0000,470
140404,26
1c0e05,77
110300,53
0f0100,83
120400,24
100200,52
0e0000,330
0c0100,111
0d0300,24
100300,63
180a01,29
190800,34
140300,34
110000,170
170501,20
140700,62
140a00,4
120000,132
1b0909,20
0f0000,216
120202,19
170906,159
1e0800,16
140000,66
1b0100,3
170000,36
1a0000,23
1b0600,1
100000,119
130400,44
0c0000,242
0e0100,69
120500,64
160900,12
170a01,12
160d08,208
090000,397
0d0400,93
0b0200,94
120904,101
150800,48
0f0200,52
110400,62
190c03,15
110800,8
120900,16
150c03,9
0e0300,83
100500,41
0f0400,77
060000,1531
090200,64
100900,5
0f0800,17
0a0300,65
080200,2
0b0500,2
070100,7
090300,2
0e0800,3
0a0400,3
090100,261
140c00,3
0c0400,6
0a0200,293
0d0600,74
080100,66
160c02,5
120800,26
0c0200,113
0d0200,143
170c06,100
140903,65
0e0500,99
0e0400,30
110200,41
120100,34
110100,4
140100,23
150300,27
0d0100,2
120200,5
160000,43
150000,43
130000,72
040000,2523
030000,2466
020100,568
020001,3889
000000,14104
000002,4012
000103,404
000102,123
030102,5603
010000,7417
050304,5785
010101,12399
020202,16141
030303,13843
050505,8237
0a0809,3310
060405,5238
040203,6172
070506,4742
0b0300,124
100100,56
0f0500,17
130500,23
150100,19
0b0100,252
170300,20
130200,38
150400,43
130100,38
160300,28
1b0500,11
150200,25
1c0700,3
150609,14
0e0004,2
090001,129
0f0504,440
756860,5
514640,16
20150f,108
191009,54
180f08,51
403732,22
5c514d,16
554a46,17
635552,18
6d5f5c,15
5b4b4b,27
615151,28
6f6059,15
796a63,9
675851,18
65564f,21
6a5b56,16
62534e,27
5f504b,29
544542,73
594949,30
5a4a4a,25
4b3b3c,29
4c3c3d,24
675758,3
6f5f62,5
635356,4
625255,8
5e5047,35
51433a,21
4a3c33,29
62544b,22
5b4d44,22
6a5c53,24
776960,4
4e4037,32
66584f,9
6c5e55,15
63554c,22
4d3f36,20
6e6057,13
91837a,10
544943,13
4d423c,13
5d504a,21
64574f,8
594c44,14
62554d,12
776861,12
76685f,13
6f6158,17
594b42,23
6e5d55,41
544339,37
7f6e64,15
68574d,18
7d6c62,12
89776d,28
584541,72
7c6a66,21
7e6c68,19
65534f,61
6c5a56,55
6b5a53,49
73645d,12
5e4f48,26
766760,3
72635c,10
75685f,5
7a6d64,2
776a61,4
695c53,11
73695f,1
6a6056,4
7f6d6d,7
8b7979,4
6e5c5c,21
6d5b5b,8
8a7878,3
726060,10
887878,3
675757,17
897979,3
897a77,3
837471,6
817370,4
675956,9
756764,2
8d7f7c,3
736051,19
7f695b,35
7c6658,41
8c7565,9
78614f,19
7b6150,33
856b5a,23
8e7463,12
7c6553,14
836e5d,18
7d6a5b,17
7f6d5f,12
736356,19
69584e,32
6a5c51,9
9a8b84,4
94857e,4
756661,11
5e4f4a,50
665953,16
6c5f59,10
736864,6
7e736f,7
7f7470,3
655a58,7
6c6260,3
726866,3
7b716f,3
756b69,2
5b514f,5
574a41,10
71645b,5
70635a,7
594c43,11
60534a,13
6c5f56,8
675a51,7
61544b,6
968980,1
73665d,4
665950,8
50433a,12
64574e,9
7b6e65,5
80736a,3
605752,5
69605b,3
776e69,3
6c635e,2
544b46,8
4e4540,9
514843,8
6b625d,3
6f6661,1
4a413c,17
5a514c,6
534a45,6
726964,4
524944,10
6f6259,2
6d6057,10
52453c,28
6e6158,7
82756c,4
3f3229,17
a5988f,1
4f4239,19
5d5047,18
d1c4bb,1
53463d,17
5a5047,6
554b42,16
51473e,4
61574e,9
50463d,9
564c43,9
4e443b,10
4c4239,12
5c5249,7
544a41,9
60564d,7
5f554c,7
5d534a,6
72685f,4
5b5148,12
4f453c,15
574d44,7
695f56,7
645a51,5
847a71,2
665c53,5
6d645b,2
726960,2
6c635a,3
5d544b,4
60574e,1
746b62,1
61584f,5
635a51,3
5c534a,7
71685f,2
7f766d,3
7e756c,1
6b6259,2
61594e,3
655d52,2
6a6257,2
6b6358,1
675f54,1
635b50,3
5f574c,2
4e463b,2
7b7368,1
90887d,1
7f776c,1
5d554a,1
554d42,3
5c5449,1
685e52,4
675d51,2
5b5145,4
60564a,4
6d6357,2
6f6559,1
5c5246,4
52483c,1
5a5044,3
6a6054,1
63594d,2
62584c,1
645a4e,3
6e6458,1
675e55,4
5f564d,2
564d44,3
524940,2
544b42,3
595047,4
4d443b,2
4b4239,1
554c43,2
5e554c,3
645b52,1
665c52,5
6f655b,2
574d43,7
443a30,7
53493f,8
7a7066,2
554b41,7
40362c,10
